Item,Quantity,Cost,Price,Vendor,PMP EXTENDED PRICING,CLIENT EXTENDED PRICING,PROFIT MARGIN,UPDATED?,Old Cost
"Recycled paper, matte insert 4/4 color - 250",250,$0.68,$0.95,,$170.00,$238.00,$68.00,,$0.68
"Recycled paper, matte insert 4/4 color - 500",500,$0.68,$0.95,,$340.00,$476.00,$136.00,,$0.68
"Recycled paper, matte insert 4/4 color - 1000",1000,$0.68,$0.95,,$680.00,$952.00,$272.00,,$0.68
"Recycled paper, matte insert 4/4 color - 5000",5000,$0.68,$0.95,,"$3,400.00","$4,760.00","$1,360.00",,$0.68
Foldover insert 4 panel - 250,250,$2.70,$3.78,Superior,$675.00,$945.00,$270.00,5/26,$3.64
Foldover insert 4 panel - 500,500,$1.33,$1.86,Superior,$665.00,$931.00,$266.00,5/26,$1.95
Foldover insert 4 panel - 1000,1000,$0.90,$1.26,Superior,$900.00,"$1,260.00",$360.00,5/26,$1.11
"7"" 2 sided insert - 500",500,N/A,$0.81,,,,,,N/A
"7"" 2 sided insert - 1000",1000,N/A,$0.62,,,,,,N/A
Sleeves,,,,,,,,,
No sleeve,,,,,,,,,
Printed Inner Sleeve - 250,250,$1.89,$2.65,Superior,$472.50,$661.50,$189.00,5/26,$2.36
Printed Inner Sleeve - 500,500,$1.04,$1.46,Superior,$520.00,$728.00,$208.00,5/26,$1.18
Printed Inner Sleeve - 1000,1000,$0.83,$1.16,Superior,$830.00,"$1,162.00",$332.00,5/26,$0.93
Printed Inner Sleeve - 5000,5000,$0.28,$0.39,Taylor,"$1,400.00","$1,960.00",$560.00,5/26,$0.40
Printed Inner Sleeve - 10000,10000,$0.26,$0.36,Taylor,"$2,600.00","$3,640.00","$1,040.00",5/26,$0.35
Black Paper Sleeve - 250,250,N/A,$0.45,,,$112.50,,,
Black Paper Sleeve - 500,500,N/A,$0.45,,,$225.00,,,
Black Paper Sleeve - 1000,1000,N/A,$0.45,,,$450.00,,,
Black Paper Sleeve - 2000,2000,N/A,$0.45,,,$900.00,,,
Black Paper Sleeve - 5000,5000,N/A,$0.45,,,"$2,250.00",,,
Black Paper Sleeve - 10000,10000,N/A,$0.45,,,"$4,500.00",,,
White Paper Sleeve - 250,250,N/A,$0.25,,,$62.50,,,
White Paper Sleeve - 500,500,N/A,$0.25,,,$125.00,,,
White Paper Sleeve - 1000,1000,N/A,$0.25,,,$250.00,,,
White Paper Sleeve - 2000,2000,N/A,$0.25,,,$500.00,,,
White Paper Sleeve - 5000,5000,N/A,$0.25,,,"$1,250.00",,,
White Paper Sleeve - 10000,10000,N/A,$0.25,,,"$2,500.00",,,
Black Poly Sleeve - 250,250,N/A,$0.50,,,$125.00,,,
Black Poly Sleeve - 500,500,N/A,$0.50,,,$250.00,,,
Black Poly Sleeve - 1000,1000,N/A,$0.50,,,$500.00,,,
Black Poly Sleeve - 2000,2000,N/A,$0.50,,,"$1,000.00",,,
Black Poly Sleeve - 5000,5000,N/A,$0.50,,,"$2,500.00",,,
Black Poly Sleeve - 10000,10000,N/A,$0.50,,,"$5,000.00",,,
White Poly Sleeve - 250,250,N/A,$0.50,,,$125.00,,,
White Poly Sleeve - 500,500,N/A,$0.50,,,$250.00,,,
White Poly Sleeve - 1000,1000,N/A,$0.50,,,$500.00,,,
White Poly Sleeve - 2000,2000,N/A,$0.50,,,"$1,000.00",,,
White Poly Sleeve - 5000,5000,N/A,$0.50,,,"$2,500.00",,,
White Poly Sleeve - 10000,10000,N/A,$0.50,,,"$5,000.00",,,
Center Labels,,,,,,,,,
No center label,,,,,,,,,
Center Labels - 1000,1,$150.00,$210.00,,$150.00,$210.00,$60.00,,
Center Labels - 2000,1,$250.00,$350.00,,$250.00,$350.00,$100.00,,
Center Labels - 5000,1,$550.00,$770.00,,$550.00,$770.00,$220.00,,
Center Labels - 10000,1,"$1,050.00","$1,470.00",,"$1,050.00","$1,470.00",$420.00,,
"7"" Center Labels - 250",250,,$0.72,,,$180.00,,,
